,df_index,region,income,family_member,gender,year_born,education_level,marriage,religion,occupation,company_size,reason_none_worker,age
1355,22840,Kyong-buk,4531.0,2,male,1955,4,1,religious,532,1,employed,63
1356,22851,Kyong-buk,7956.0,4,male,1974,6,1,religious,312,10,employed,44
1357,22858,Kyong-buk,4242.0,3,male,1979,6,1,religious,922,4,employed,39
1358,22883,Kyong-buk,3770.0,2,female,1936,2,2,religious,0,0,no_intention_to_work,82
1359,22897,Kyong-buk,2885.0,2,female,1967,6,3,religious,521,1,employed,51
1360,22911,Kyong-buk,3290.0,3,male,1949,4,1,non-religious,611,1,employed,69
1361,22921,Kyoung-nam,3517.0,3,male,1980,5,1,non-religious,312,5,employed,38
1362,22935,Kyong-buk,2718.0,5,female,1962,3,3,religious,0,0,house_worker,56
1363,22949,Kyong-buk,5934.0,3,female,1961,4,2,religious,441,2,employed,57
1364,22952,Kyong-buk,3338.0,3,male,1985,7,1,non-religious,521,3,employed,33
1365,22966,Kyong-buk,803.0,1,female,1935,3,2,religious,429,4,employed,83
1366,22980,Kyong-buk,968.0,1,female,1937,3,2,religious,0,0,no_intention_to_work,81
1367,22994,Kyong-buk,4863.0,3,male,1943,7,1,non-religious,0,0,no_intention_to_work,75
1368,23016,Kyong-buk,6757.0,2,male,1959,6,1,non-religious,510,1,employed,59
1369,23040,Kyong-buk,4063.0,3,male,1973,5,1,religious,741,2,employed,45
1370,23054,Kyong-buk,8375.0,6,male,1982,8,1,religious,312,2,employed,36
1371,23070,Kyong-buk,4963.0,3,male,1960,5,1,non-religious,0,0,giving_up_economic_activities,58
1372,23084,Kyong-buk,2717.0,2,male,1947,4,1,religious,0,0,giving_up_economic_activities,71
1373,23094,Kyong-buk,3672.0,1,male,1978,7,5,non-religious,799,6,employed,40
1374,23103,Kyoung-nam,3956.0,4,male,1980,6,1,religious,312,7,employed,38
1375,23117,Kyong-buk,5785.0,4,male,1967,7,1,non-religious,921,7,employed,51
1376,23131,Kyong-buk,6553.0,2,male,1965,4,1,non-religious,910,5,employed,53
1377,23133,Kyong-buk,3810.0,1,female,1993,5,5,religious,710,10,employed,25
1378,23171,Kyong-buk,3346.0,3,female,1960,6,1,non-religious,247,4,employed,58
1379,23186,Kyong-buk,9230.0,3,male,1960,5,1,non-religious,783,1,employed,58
1380,23194,Kyong-buk,4047.0,1,male,1986,6,5,non-religious,312,3,employed,32
1381,23230,Kyong-buk,3492.0,3,male,1963,5,1,religious,783,1,employed,55
1382,23245,Kyong-buk,7166.0,2,male,1960,3,1,non-religious,312,6,employed,58
1383,23257,Kyong-buk,11018.0,2,male,1985,7,1,non-religious,312,10,employed,33
1384,23271,Kyong-buk,1144.0,1,male,1946,4,3,religious,0,0,no_intention_to_work,72
1385,23285,Kyong-buk,5685.0,2,female,1957,3,3,religious,441,3,employed,61
1386,23302,Kyong-buk,6074.0,3,male,1979,7,1,non-religious,753,5,employed,39
1387,23320,Kyong-buk,16487.0,4,male,1971,7,1,religious,149,2,employed,47
1388,23342,Kyong-buk,10968.0,3,female,1965,7,3,non-religious,442,3,employed,53
1389,23366,Kyong-buk,5496.0,2,male,1952,4,1,non-religious,312,1,employed,66
1390,23376,Kyeong-gi,7708.0,5,male,1978,7,1,non-religious,312,9,employed,40
1391,23386,Kyong-buk,11183.0,3,male,1980,7,1,non-religious,312,6,employed,38
1392,23404,Kyong-buk,5059.0,2,male,1936,7,1,religious,0,0,no_intention_to_work,82
1393,23418,Kyong-buk,2601.0,2,male,1951,5,1,religious,941,4,employed,67
1394,23435,Kyong-buk,1315.0,1,female,1946,2,2,non-religious,0,0,no_intention_to_work,72
1395,23449,Kyong-buk,7759.0,1,male,1975,7,5,non-religious,313,3,employed,43
1396,23463,Kyong-buk,4382.0,4,female,1958,3,2,non-religious,0,0,no_intention_to_work,60
1397,23484,Kyong-buk,9160.0,3,male,1960,5,1,religious,762,2,employed,58
1398,23505,Kyong-buk,3446.0,2,male,1938,3,1,religious,0,0,no_intention_to_work,80
1399,23532,Kyong-buk,3043.0,1,female,1996,5,5,non-religious,521,3,employed,22
1400,23546,Kyong-buk,1073.0,2,male,1944,3,1,religious,0,0,no_intention_to_work,74
1401,23566,Kyong-buk,9394.0,4,male,1939,5,1,religious,274,1,employed,79
1403,23602,Kyong-buk,1383.0,1,female,1943,3,2,religious,611,1,employed,75
1404,23616,Kyong-buk,2586.0,4,male,1976,6,1,non-religious,0,0,prepare_to_apply_job,42
1405,23630,Kyong-buk,953.0,1,female,1950,3,2,religious,0,0,no_intention_to_work,68
1406,23644,Kyong-buk,6581.0,5,male,1973,5,1,religious,873,1,employed,45
1407,23658,Kyong-buk,4442.0,3,male,1954,3,1,religious,611,1,employed,64
1408,23682,Kyong-buk,935.0,2,male,1927,2,1,non-religious,611,1,employed,91
1409,23696,Kyong-buk,891.0,1,male,1922,3,2,religious,0,0,no_intention_to_work,96
1410,23710,Kyong-buk,1444.0,2,male,1935,3,1,religious,611,1,employed,83
1411,23737,Kyong-buk,668.0,1,female,1932,3,2,non-religious,0,0,no_intention_to_work,86
1412,23751,Kyong-buk,3037.0,1,male,1960,3,3,religious,910,1,employed,58
1413,23765,Kyong-buk,1182.0,2,female,1935,3,2,religious,0,0,no_intention_to_work,83
1414,23796,Kyong-buk,909.0,1,female,1935,2,2,non-religious,941,7,employed,83
1415,23810,Kyeong-gi,1823.0,1,female,1950,5,2,non-religious,0,0,no_intention_to_work,68
1416,23827,Kyong-buk,5455.0,3,male,1958,5,1,non-religious,0,0,no_intention_to_work,60
1417,23828,Kyong-buk,6936.0,2,male,1989,7,1,non-religious,311,10,employed,29
1418,23842,Kyong-buk,16249.0,4,male,1967,6,1,non-religious,311,10,employed,51
1419,23859,Kyong-buk,1844.0,2,male,1942,3,1,non-religious,0,0,no_intention_to_work,76
1420,23875,Kyong-buk,5823.0,3,male,1958,5,1,religious,873,7,employed,60
1421,23889,Kyong-buk,835.0,1,female,1953,3,2,non-religious,0,0,no_intention_to_work,65
1422,23903,Kyong-buk,1893.0,1,female,1951,3,2,religious,991,2,employed,67
1423,23917,Kyong-buk,8290.0,4,male,1952,5,1,religious,0,0,giving_up_economic_activities,66
1424,23927,Kyong-buk,8669.0,3,male,1942,7,1,religious,0,0,no_intention_to_work,76
1425,23942,Kyong-buk,1961.0,1,female,1946,5,2,religious,952,10,employed,72
1426,23956,Kyong-buk,2028.0,2,male,1944,3,1,religious,0,0,no_intention_to_work,74
1427,23970,Kyong-buk,2515.0,2,male,1954,3,1,religious,910,1,employed,64
1428,23984,Kyong-buk,2008.0,2,male,1947,4,1,non-religious,611,1,employed,71
1429,23998,Kyong-buk,13318.0,2,male,1963,8,2,non-religious,312,6,employed,55
1430,24048,Kyong-buk,6326.0,4,male,1961,5,1,non-religious,873,2,employed,57
1431,24052,Kyong-buk,2574.0,1,male,1994,6,5,non-religious,0,0,prepare_for_school,24
1432,24068,Kyong-buk,2006.0,4,male,1969,4,1,religious,429,1,employed,49
1433,24082,Kyong-buk,1495.0,1,female,1935,3,2,religious,0,0,no_intention_to_work,83
1434,24114,Chong-nam,7721.0,2,female,1979,5,3,religious,422,1,employed,39
1435,24128,Kyong-buk,7114.0,5,male,1977,7,1,non-religious,1001,10,employed,41
1436,24171,Kyeong-gi,17053.0,5,male,1962,8,1,religious,237,10,employed,56
1437,24186,Kyeong-gi,3840.0,2,male,1943,3,1,non-religious,941,3,employed,75
1438,24200,Kyeong-gi,1184.0,1,male,1953,7,5,religious,0,0,no_intention_to_work,65
1439,24218,Kyeong-gi,9270.0,5,male,1970,5,1,non-religious,237,10,employed,48
1440,24232,Kyeong-gi,10384.0,3,male,1968,7,1,non-religious,411,10,employed,50
1441,24246,Chong-nam,10110.0,4,male,1968,8,1,religious,311,10,employed,50
1442,24260,Kyeong-gi,9990.0,4,male,1970,7,1,non-religious,312,10,employed,48
1443,24285,Kyeong-gi,14067.0,5,male,1961,7,1,religious,411,10,employed,57
1444,24310,Kyeong-gi,3754.0,2,male,1957,4,1,non-religious,442,1,employed,61
1445,24317,Kyeong-gi,6635.0,2,male,1979,7,1,non-religious,751,4,employed,39
1446,24321,Kyeong-gi,2270.0,1,female,1982,5,5,non-religious,442,1,employed,36
1447,24335,Kyeong-gi,2336.0,1,male,1949,5,3,non-religious,922,1,employed,69
1448,24350,Kyeong-gi,12532.0,5,male,1966,8,1,religious,312,3,employed,52
1449,24364,Kyeong-gi,2616.0,3,male,1973,5,3,non-religious,0,0,giving_up_economic_activities,45
1450,24378,Kyeong-gi,808.0,1,male,1974,3,5,non-religious,0,0,no_intention_to_work,44
1451,24392,Kyeong-gi,10524.0,5,male,1970,5,1,religious,751,1,employed,48
1452,24406,Kyeong-gi,1260.0,1,female,1934,3,2,religious,0,0,no_intention_to_work,84
1453,24420,Kyeong-gi,810.0,1,female,1936,2,2,religious,0,0,no_intention_to_work,82
1454,24437,Kyeong-gi,5780.0,2,male,1959,4,3,religious,873,9,employed,59
1455,24451,Kyeong-gi,1543.0,2,female,1941,4,2,religious,941,8,employed,77
1456,24465,Kyeong-gi,2071.0,2,male,1942,3,1,religious,0,0,giving_up_economic_activities,76
1457,24479,Kyeong-gi,3384.0,3,female,1967,5,2,religious,930,3,employed,51
1458,24525,Kyeong-gi,8377.0,3,male,1955,4,1,non-religious,710,7,employed,63
1459,24539,Kyeong-gi,5861.0,4,male,1961,5,1,religious,873,1,employed,57
1460,24553,Kyeong-gi,1763.0,2,male,1932,5,1,non-religious,0,0,giving_up_economic_activities,86
1461,24568,Kyeong-gi,848.0,1,female,1938,2,2,religious,0,0,giving_up_economic_activities,80
1462,24573,Kyeong-gi,1204.0,1,male,1956,3,3,non-religious,0,0,no_intention_to_work,62
1463,24587,Kyeong-gi,5115.0,2,female,1939,2,2,religious,0,0,no_intention_to_work,79
1464,24621,Kyeong-gi,2295.0,2,male,1943,4,1,religious,0,0,giving_up_economic_activities,75
1465,24639,Kyeong-gi,2818.0,1,male,1937,3,3,non-religious,611,1,employed,81
1466,24648,Kyeong-gi,768.0,1,female,1942,3,2,non-religious,941,3,employed,76
1467,24662,Kyeong-gi,1331.0,1,male,1939,4,3,religious,0,0,no_intention_to_work,79
1468,24688,Kyeong-gi,7931.0,5,male,1970,5,1,non-religious,521,1,employed,48
1469,24702,Kyeong-gi,4426.0,3,male,1957,3,1,religious,0,0,no_intention_to_work,61
1470,24708,Kyeong-gi,4812.0,4,male,1991,6,1,religious,510,3,employed,27
1471,24722,Kyeong-gi,6879.0,3,male,1958,5,1,non-religious,0,0,giving_up_economic_activities,60
1472,24726,Seoul,3697.0,1,female,1991,7,5,non-religious,312,10,employed,27
1473,24753,Kyeong-gi,953.0,1,male,1939,5,2,religious,0,0,no_intention_to_work,79
1474,24767,Kyeong-gi,1720.0,1,female,1941,3,2,religious,0,0,no_intention_to_work,77
1475,24781,Kyeong-gi,5201.0,4,female,1970,5,1,non-religious,441,4,employed,48
1476,24799,Kyeong-gi,1472.0,1,female,1938,3,2,religious,999,3,employed,80
1477,24813,Kyeong-gi,4069.0,2,male,1939,8,1,non-religious,0,0,no_intention_to_work,79
1478,24827,Kyeong-gi,7039.0,2,male,1976,6,1,non-religious,312,3,employed,42
1479,24849,Kyeong-gi,2251.0,1,male,1952,4,2,religious,823,1,employed,66
1480,24859,Gang-won & Chung-buk,10044.0,5,male,1979,7,1,religious,252,10,employed,39
1481,24873,Kyeong-gi,9554.0,4,male,1964,5,1,religious,153,3,employed,54
1482,24887,Kyeong-gi,1079.0,1,female,1936,4,2,religious,0,0,no_intention_to_work,82
1483,24901,Kyeong-gi,1646.0,2,male,1939,7,1,non-religious,0,0,no_intention_to_work,79
1484,24915,Kyeong-gi,6309.0,3,male,1962,7,2,religious,881,4,employed,56
1485,24946,Kyeong-gi,2518.0,2,male,1934,7,1,religious,0,0,not_capable,84
1486,24964,Kyeong-gi,6964.0,4,male,1961,7,1,religious,910,1,employed,57
1487,24978,Kyeong-gi,3521.0,2,male,1942,5,1,non-religious,0,0,giving_up_economic_activities,76
1488,24998,Kyeong-gi,2906.0,2,male,1947,3,1,non-religious,0,0,no_intention_to_work,71
1489,25012,Kyeong-gi,7850.0,3,male,1942,5,1,non-religious,0,0,giving_up_economic_activities,76
1490,25023,Kyeong-gi,19294.0,4,male,1976,7,1,non-religious,312,9,employed,42
1491,25037,Kyeong-gi,5075.0,4,male,1974,5,1,non-religious,312,4,employed,44
1492,25044,Kyeong-gi,1725.0,1,female,1935,3,2,religious,0,0,no_intention_to_work,83
1493,25071,Kyeong-gi,1329.0,1,female,1943,3,2,religious,0,0,no_intention_to_work,75
1494,25089,Kyeong-gi,7681.0,4,male,1960,8,1,non-religious,252,10,employed,58
1495,25103,Chong-nam,3656.0,2,male,1952,7,1,non-religious,0,0,employed,66
1496,25122,Kyeong-gi,6636.0,3,male,1966,9,1,religious,251,9,employed,52
1497,25136,Kyeong-gi,7234.0,2,male,1953,5,1,religious,942,8,employed,65
1498,25148,Kyeong-gi,8123.0,4,male,1979,7,1,non-religious,313,10,employed,39
1499,25153,Gang-won & Chung-buk,4597.0,1,male,1983,7,1,non-religious,411,10,employed,35
1500,25167,Kyeong-gi,10753.0,3,male,1963,6,1,religious,149,7,employed,55
1501,25171,Seoul,3538.0,1,female,1989,7,5,non-religious,0,0,employed,29
1502,25191,Seoul,7519.0,4,male,1962,7,1,religious,510,1,employed,56
1503,25210,Kyeong-gi,1358.0,1,female,1939,4,2,religious,999,9,employed,79
1504,25224,Kyeong-gi,2140.0,2,male,1946,3,1,religious,0,0,no_intention_to_work,72
1505,25247,Kyeong-gi,9298.0,5,male,1943,7,1,religious,999,7,employed,75
1506,25261,Kyeong-gi,3903.0,4,male,1973,5,1,religious,441,1,employed,45
1507,25286,Kyeong-gi,6711.0,5,male,1969,5,1,non-religious,873,1,employed,49
1508,25313,Kyeong-gi,2340.0,2,female,1927,5,2,religious,0,0,no_intention_to_work,91
1509,25327,Kyeong-gi,2219.0,2,male,1941,6,1,non-religious,0,0,no_intention_to_work,77
1510,25360,Kyeong-gi,8184.0,2,male,1963,5,1,non-religious,873,5,employed,55
1511,25363,Kyeong-gi,5509.0,3,female,1990,8,1,religious,0,0,caring_for_kids_at_home,28
1512,25396,Chong-nam,3800.0,3,male,1965,4,1,religious,510,1,employed,53
1513,25410,Kyeong-gi,1907.0,2,male,1942,4,1,religious,0,0,not_capable,76
1514,25425,Kyeong-gi,2304.0,2,male,1940,3,1,religious,0,0,no_intention_to_work,78
1515,25439,Kyeong-gi,8718.0,3,male,1958,5,1,religious,421,2,employed,60
1516,25443,Kyeong-gi,5943.0,2,male,1985,7,1,non-religious,312,2,employed,33
1517,25456,Jeju,3036.0,2,male,1957,4,1,religious,236,4,employed,61
1518,25479,Jeju,1024.0,1,male,1951,5,3,religious,0,0,no_intention_to_work,67
1519,25483,Kyeong-gi,3735.0,2,male,1989,7,1,non-religious,930,7,employed,29
1520,25497,Kyeong-gi,3252.0,1,female,1968,5,3,religious,432,2,employed,50
1521,25504,Kyoung-nam,802.0,1,male,1963,4,3,non-religious,0,0,giving_up_economic_activities,55
1522,25518,Kyeong-gi,1278.0,1,female,1939,3,2,religious,0,0,giving_up_economic_activities,79
1523,25532,Kyeong-gi,11281.0,4,male,1970,5,1,religious,781,2,employed,48
1524,25547,Kyeong-gi,7880.0,4,female,1971,5,1,non-religious,930,3,employed,47
1525,25551,Kyeong-gi,5159.0,3,male,1985,6,1,non-religious,842,8,employed,33
1526,25565,Kyeong-gi,1412.0,2,male,1941,3,1,religious,0,0,no_intention_to_work,77
1527,25596,Kyeong-gi,1373.0,1,female,1944,3,2,religious,0,0,no_intention_to_work,74
1528,25610,Kyeong-gi,8625.0,2,male,1970,5,1,non-religious,431,2,employed,48
1529,25624,Chong-nam,6878.0,4,male,1975,5,1,non-religious,611,1,employed,43
1530,25646,Kyeong-gi,9453.0,4,male,1966,5,1,non-religious,781,3,employed,52
1531,25682,Kyeong-gi,1234.0,1,female,1943,2,3,religious,999,4,employed,75
1532,25696,Kyeong-gi,2263.0,1,male,1930,4,2,religious,0,0,no_intention_to_work,88
1533,25717,Kyeong-gi,4174.0,3,female,1964,5,3,non-religious,521,1,employed,54
1534,25746,Kyeong-gi,1561.0,2,male,1945,3,1,religious,0,0,no_intention_to_work,73
1535,25760,Kyeong-gi,2605.0,2,male,1943,4,1,non-religious,0,0,no_intention_to_work,75
1536,25774,Kyeong-gi,5729.0,2,female,1960,4,2,non-religious,0,0,house_worker,58
1537,25788,Kyeong-gi,3780.0,2,male,1947,4,1,religious,873,3,employed,71
1538,25802,Kyeong-gi,4394.0,2,male,1957,3,1,non-religious,730,4,employed,61
1539,25831,Jeju,1801.0,1,female,1943,4,2,religious,0,0,no_intention_to_work,75
1540,25845,Kyeong-gi,2020.0,1,male,1960,5,5,non-religious,0,0,no_intention_to_work,58
1541,25859,Kyeong-gi,1637.0,2,male,1940,4,1,non-religious,0,0,no_intention_to_work,78
1542,25873,Kyeong-gi,4504.0,3,male,1964,5,1,religious,922,6,employed,54
1543,25887,Kyeong-gi,5776.0,4,male,1956,8,1,religious,942,3,employed,62
1544,25901,Kyeong-gi,1425.0,1,female,1949,3,2,religious,951,1,employed,69
1546,25926,Kyeong-gi,3434.0,2,male,1951,2,1,non-religious,0,0,giving_up_economic_activities,67
1547,25940,Kyeong-gi,780.0,1,male,1941,2,2,non-religious,0,0,no_intention_to_work,77
1548,25955,Kyeong-gi,4121.0,2,female,1937,2,2,religious,0,0,giving_up_economic_activities,81
1549,25969,Kyeong-gi,2893.0,1,female,1955,3,2,non-religious,930,4,employed,63
1550,25983,Kyeong-gi,1975.0,3,male,1943,3,1,religious,0,0,giving_up_economic_activities,75
1551,25997,Kyeong-gi,5275.0,1,male,1956,5,3,religious,873,9,employed,62
1552,26018,Kyeong-gi,3832.0,2,female,1938,3,2,non-religious,0,0,no_intention_to_work,80
1553,26048,Kyeong-gi,7506.0,4,male,1968,5,1,non-religious,842,4,employed,50
1554,26074,Kyeong-gi,4467.0,3,male,1941,7,2,non-religious,0,0,giving_up_economic_activities,77
1555,26100,Kyeong-gi,7274.0,5,male,1977,5,1,religious,761,1,employed,41
1556,26114,Kyeong-gi,6842.0,3,male,1964,4,1,religious,751,5,employed,54
1557,26137,Kyeong-gi,1407.0,2,male,1943,7,1,religious,0,0,no_intention_to_work,75
1558,26151,Kyeong-gi,1059.0,1,female,1951,4,3,religious,0,0,no_intention_to_work,67
1559,26165,Kyeong-gi,1459.0,1,female,1946,5,2,non-religious,0,0,no_intention_to_work,72
1560,26176,Kyeong-gi,9706.0,4,male,1975,7,1,non-religious,312,10,employed,43
1561,26185,Kyeong-gi,11051.0,4,male,1971,7,1,non-religious,312,10,employed,47
1562,26199,Kyeong-gi,2168.0,2,male,1936,4,1,religious,999,5,employed,82
1563,26216,Kyeong-gi,2264.0,2,male,1949,5,2,non-religious,0,0,no_intention_to_work,69
1564,26225,Kyeong-gi,11120.0,4,male,1977,5,1,non-religious,873,1,employed,41
1565,26239,Kyeong-gi,2808.0,3,male,1939,5,1,religious,0,0,no_intention_to_work,79
1566,26264,Kyeong-gi,2777.0,3,male,1949,5,1,religious,0,0,no_intention_to_work,69
1567,26278,Kyeong-gi,3186.0,2,male,1939,5,1,religious,0,0,no_intention_to_work,79
1568,26303,Kyeong-gi,5925.0,4,male,1960,7,1,religious,854,4,employed,58
1569,26306,Kyeong-gi,3589.0,2,male,1989,7,1,religious,311,10,employed,29
1570,26320,Kyeong-gi,1094.0,1,female,1937,4,2,religious,0,0,no_intention_to_work,81
1571,26334,Kyeong-gi,7762.0,3,male,1956,5,1,religious,922,1,employed,62
1572,26348,Kyeong-gi,11490.0,4,male,1971,7,1,non-religious,312,10,employed,47
1573,26362,Kyoung-nam,2090.0,3,male,1940,5,1,religious,0,0,no_intention_to_work,78
1574,26390,Kyeong-gi,8480.0,4,male,1961,7,1,religious,753,1,employed,57
1575,26404,Kyeong-gi,9610.0,4,male,1960,7,1,religious,121,2,employed,58
1576,26417,Kyeong-gi,6000.0,4,male,1967,7,1,non-religious,521,1,employed,51
1577,26477,Kyeong-gi,1475.0,1,female,1942,3,2,religious,0,0,house_worker,76
1578,26491,Kyeong-gi,4567.0,5,male,1966,5,1,non-religious,741,4,employed,52
1579,26508,Chong-nam,1253.0,2,male,1944,4,1,non-religious,0,0,employed,74
1580,26522,Kyoung-nam,5983.0,3,male,1947,5,1,non-religious,873,2,employed,71
1581,26536,Kyeong-gi,3305.0,3,male,1961,5,1,non-religious,721,2,employed,57
1582,26550,Kyeong-gi,3826.0,1,male,1977,5,5,non-religious,892,1,employed,41
1583,26578,Kyeong-gi,2858.0,3,male,1938,3,1,religious,0,0,no_intention_to_work,80
1584,26592,Kyeong-gi,6860.0,3,male,1974,5,1,religious,751,3,employed,44
1585,26619,Kyeong-gi,3632.0,4,male,1967,5,1,non-religious,151,1,employed,51
1586,26646,Kyeong-gi,10503.0,4,male,1972,8,1,religious,234,2,employed,46
1587,26663,Kyeong-gi,5763.0,3,male,1961,7,1,religious,762,2,employed,57
1588,26677,Kyeong-gi,9520.0,5,male,1970,6,1,religious,510,7,employed,48
1589,26691,Kyeong-gi,7103.0,4,male,1977,7,1,religious,753,10,employed,41
1590,26706,Kyeong-gi,10405.0,4,male,1971,5,1,non-religious,741,9,employed,47
1591,26741,Kyeong-gi,783.0,1,female,1939,3,2,religious,0,0,no_intention_to_work,79
1592,26753,Kyeong-gi,3480.0,1,male,1978,6,5,non-religious,930,7,employed,40
1593,26775,Kyeong-gi,1714.0,4,male,1942,4,1,religious,0,0,not_capable,76
1594,26791,Kyeong-gi,4949.0,2,male,1955,5,1,non-religious,941,6,employed,63
1595,26811,Kyeong-gi,1825.0,1,female,1950,5,2,religious,951,1,employed,68
1596,26838,Kyeong-gi,6757.0,4,male,1974,5,1,non-religious,799,1,employed,44
1597,26852,Kyeong-gi,1529.0,2,female,1967,4,3,religious,0,0,no_intention_to_work,51
1598,26866,Kyeong-gi,1564.0,1,female,1944,3,2,non-religious,429,10,employed,74
1599,26880,Kyeong-gi,3424.0,1,male,1973,5,5,non-religious,741,3,employed,45
1600,26912,Kyeong-gi,3830.0,1,female,1957,5,4,religious,0,0,no_intention_to_work,61
1601,26920,Gang-won & Chung-buk,6316.0,4,male,1976,8,1,religious,237,10,employed,42
1602,26942,Kyeong-gi,5798.0,3,male,1968,5,1,non-religious,761,3,employed,50
1603,26964,Kyeong-gi,940.0,1,female,1960,3,3,non-religious,0,0,giving_up_economic_activities,58
1604,26978,Kyeong-gi,937.0,1,female,1938,3,3,religious,0,0,no_intention_to_work,80
1605,26998,Kyeong-gi,2099.0,1,female,1937,3,2,religious,0,0,not_capable,81
1606,27012,Kyeong-gi,3414.0,2,male,1967,5,3,religious,873,1,employed,51
1607,27026,Kyeong-gi,2744.0,4,female,1977,6,4,non-religious,0,0,caring_for_kids_at_home,41
1608,27040,Kyeong-gi,2798.0,2,male,1944,5,1,non-religious,0,0,no_intention_to_work,74
1609,27053,Chong-nam,2989.0,2,female,1937,3,2,religious,0,0,no_intention_to_work,81
1610,27071,Kyeong-gi,792.0,1,female,1965,7,5,non-religious,953,1,employed,53
1611,27085,Kyeong-gi,4103.0,1,male,1939,3,1,non-religious,0,0,no_intention_to_work,79
1612,27107,Kyeong-gi,6664.0,5,male,1976,6,1,religious,239,6,employed,42
1613,27123,Kyeong-gi,12043.0,4,male,1981,5,1,religious,274,2,employed,37
1614,27137,Kyeong-gi,1694.0,1,male,1946,2,2,non-religious,0,0,no_intention_to_work,72
1615,27146,Kyeong-gi,9015.0,4,male,1976,6,1,religious,312,7,employed,42
1616,27162,Kyeong-gi,676.0,1,female,1928,2,2,religious,0,0,no_intention_to_work,90
1617,27181,Kyeong-gi,717.0,1,female,1943,3,2,non-religious,521,1,employed,75
1618,27195,Kyeong-gi,2835.0,2,female,1958,4,2,religious,0,0,giving_up_economic_activities,60
1619,27209,Kyeong-gi,1208.0,1,female,1950,3,2,religious,521,1,employed,68
1620,27223,Kyeong-gi,1987.0,2,female,1940,3,1,non-religious,0,0,house_worker,78
1621,27231,Kyeong-gi,5995.0,3,male,1968,5,1,non-religious,930,3,employed,50
1622,27251,Kyeong-gi,2896.0,2,male,1958,4,1,religious,743,2,employed,60
1623,27265,Kyeong-gi,9874.0,4,male,1970,5,1,non-religious,510,10,employed,48
1624,27279,Kyeong-gi,1106.0,1,female,1939,3,2,religious,0,0,no_intention_to_work,79
1625,27301,Kyong-buk,2494.0,2,male,1945,5,1,religious,611,1,employed,73
1626,27322,Jeju,636.0,1,male,1967,4,5,non-religious,930,5,employed,51
1627,27336,Kyeong-gi,506.0,1,female,1934,2,2,non-religious,0,0,no_intention_to_work,84
1628,27350,Kyeong-gi,3698.0,2,male,1944,7,1,non-religious,0,0,no_intention_to_work,74
1629,27364,Kyeong-gi,1277.0,2,female,1959,3,3,religious,941,10,employed,59
1630,27378,Kyeong-gi,1216.0,2,female,1955,4,3,non-religious,0,0,giving_up_economic_activities,63
1631,27401,Kyeong-gi,2434.0,2,male,1932,5,2,non-religious,0,0,no_intention_to_work,86
1632,27415,Kyeong-gi,864.0,1,female,1939,3,3,religious,0,0,no_intention_to_work,79
1633,27429,Kyeong-gi,9465.0,5,male,1962,7,1,non-religious,0,0,giving_up_economic_activities,56
1634,27443,Kyeong-gi,2453.0,1,male,1976,6,5,non-religious,152,5,employed,42
1635,27465,Kyeong-gi,2227.0,2,male,1940,3,1,non-religious,0,0,no_intention_to_work,78
1636,27479,Kyeong-gi,4343.0,4,male,1976,5,1,non-religious,873,2,employed,42
1637,27493,Kyeong-gi,7033.0,2,male,1967,5,1,non-religious,873,1,employed,51
1638,27520,Kyeong-gi,4973.0,2,male,1974,7,3,non-religious,159,1,employed,44
1639,27532,Seoul,2214.0,1,female,1977,5,3,non-religious,314,1,employed,41
1640,27546,Kyeong-gi,1070.0,1,female,1938,5,2,religious,0,0,no_intention_to_work,80
1641,27584,Kyeong-gi,3301.0,4,male,1961,5,1,religious,0,0,no_intention_to_work,57
1642,27598,Kyeong-gi,5379.0,3,male,1954,7,1,religious,222,1,employed,64
1643,27612,Kyeong-gi,66100.0,4,male,1976,7,1,religious,221,1,employed,42
1644,27632,Kyeong-gi,3783.0,2,female,1959,4,4,non-religious,441,1,employed,59
1645,27657,Kyeong-gi,1406.0,1,female,1949,3,2,religious,0,0,giving_up_economic_activities,69
1646,27668,Kyeong-gi,5244.0,3,male,1977,6,1,religious,0,0,employed,41
1647,27693,Kyeong-gi,3033.0,1,male,1961,5,3,non-religious,510,5,employed,57
1648,27704,Kyeong-gi,867.0,1,female,1940,3,2,non-religious,0,0,no_intention_to_work,78
1649,27718,Kyeong-gi,6145.0,2,female,1970,5,1,religious,313,3,employed,48
1650,27732,Kyeong-gi,6306.0,5,male,1978,6,1,religious,874,7,employed,40
1651,27746,Gang-won & Chung-buk,3793.0,2,male,1949,5,1,non-religious,611,1,employed,69
1652,27760,Kyeong-gi,1043.0,1,female,1948,3,2,non-religious,952,2,employed,70
1653,27791,Kyeong-gi,8700.0,4,male,1968,7,1,religious,521,1,employed,50
1654,27806,Kyeong-gi,1026.0,1,male,1930,5,4,non-religious,0,0,no_intention_to_work,88
1655,27810,Kyeong-gi,1556.0,1,female,1944,5,4,non-religious,999,2,employed,74
1656,27824,Kyeong-gi,6953.0,4,male,1975,5,1,non-religious,751,2,employed,43
1657,27838,Kyeong-gi,7896.0,4,male,1972,6,1,non-religious,873,1,employed,46
1658,27852,Kyeong-gi,6414.0,2,female,1957,5,2,religious,0,0,house_worker,61
1659,27900,Kyeong-gi,10463.0,3,male,1960,5,1,religious,941,1,employed,58
1660,27959,Kyeong-gi,7909.0,3,male,1965,8,1,religious,252,10,employed,53
